"","id","name","logo","output$form","played.home","played.away","played.total","wins.home","wins.away","wins.total","draws.home","draws.away","draws.total","loses.home","loses.away","loses.total","home","away","total","home","away","total"
"118",3,"Croatia","https://media.api-sports.io/football/teams/3.png","LDWL",2,2,4,1,0,1,1,0,1,0,2,2,3,1,4,2,8,10
"119",768,"Italy","https://media.api-sports.io/football/teams/768.png","DLWD",2,2,4,0,1,1,2,0,2,0,1,1,1,1,2,1,1,2
"120",778,"Albania","https://media.api-sports.io/football/teams/778.png","WLLL",2,2,4,1,0,1,0,0,0,1,2,3,1,0,1,4,4,8
"121",1091,"Slovenia","https://media.api-sports.io/football/teams/1091.png","LLLDDD",3,3,6,0,0,0,2,1,3,1,2,3,3,2,5,4,4,8
"122",21,"Denmark","https://media.api-sports.io/football/teams/21.png","WDWD",2,2,4,1,1,2,1,1,2,0,0,0,2,2,4,0,1,1
"123",14,"Serbia","https://media.api-sports.io/football/teams/14.png","WDWDWW",3,3,6,2,2,4,1,1,2,0,0,0,8,3,11,4,0,4
"124",10,"England","https://media.api-sports.io/football/teams/10.png","LDWWLD",2,4,6,1,1,2,0,2,2,1,1,2,3,4,7,3,5,8
"125",24,"Poland","https://media.api-sports.io/football/teams/24.png","DLLD",2,2,4,0,0,0,0,2,2,2,0,2,2,2,4,4,2,6
"126",1118,"Netherlands","https://media.api-sports.io/football/teams/1118.png","LWWDWL",3,3,6,3,0,3,0,1,1,0,2,2,8,3,11,1,5,6
"127",775,"Austria","https://media.api-sports.io/football/teams/775.png","LWDW",2,2,4,1,1,2,1,0,1,0,1,1,1,2,3,0,2,2
"128",2,"France","https://media.api-sports.io/football/teams/2.png","DWWL",2,2,4,2,0,2,0,1,1,0,1,1,4,0,4,2,2,4
"129",1,"Belgium","https://media.api-sports.io/football/teams/1.png","WWWL",2,2,4,2,1,3,0,0,0,0,1,1,4,5,9,1,5,6
"130",773,"Slovakia","https://media.api-sports.io/football/teams/773.png","LLWL",2,2,4,1,0,1,0,0,0,1,2,3,5,0,5,3,2,5
"131",774,"Romania","https://media.api-sports.io/football/teams/774.png","DDWDWW",3,3,6,1,2,3,2,1,3,0,0,0,3,5,8,0,3,3
"132",772,"Ukraine","https://media.api-sports.io/football/teams/772.png","WWWL",2,2,4,2,1,3,0,0,0,0,1,1,2,3,5,0,5,5
"133",777,"Turkey","https://media.api-sports.io/football/teams/777.png","LWLL",2,2,4,0,1,1,0,0,0,2,1,3,1,3,4,3,4,7
"134",1104,"Georgia","https://media.api-sports.io/football/teams/1104.png","WWWWDW",3,3,6,3,2,5,0,1,1,0,0,0,6,6,12,1,1,2
"135",27,"Portugal","https://media.api-sports.io/football/teams/27.png","WWDDWW",4,2,6,3,1,4,1,1,2,0,0,0,6,3,9,2,2,4
"136",770,"Czech Republic","https://media.api-sports.io/football/teams/770.png","LWLW",2,2,4,1,1,2,0,0,0,1,1,2,2,2,4,2,2,4
"137",25,"Germany","https://media.api-sports.io/football/teams/25.png","DDWDWL",3,3,6,1,1,2,2,1,3,0,1,1,7,3,10,5,8,13
"138",1108,"Scotland","https://media.api-sports.io/football/teams/1108.png","DWWWLL",3,3,6,2,1,3,1,0,1,0,2,2,3,2,5,1,3,4
"139",769,"Hungary","https://media.api-sports.io/football/teams/769.png","WLWDDW",3,3,6,1,2,3,1,1,2,1,0,1,5,2,7,4,0,4
"140",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","LDLDDW",3,3,6,1,0,1,2,1,3,0,2,2,5,4,9,2,6,8
"141",9,"Spain","https://media.api-sports.io/football/teams/9.png","DWWLDWWL",4,4,8,3,1,4,0,2,2,1,1,2,12,4,16,2,4,6
"142",3,"Croatia","https://media.api-sports.io/football/teams/3.png","LLWLLL",3,3,6,1,0,1,0,0,0,2,3,5,5,4,9,6,10,16
"143",768,"Italy","https://media.api-sports.io/football/teams/768.png","DWDDWWLW",5,3,8,2,2,4,2,1,3,1,0,1,7,3,10,5,0,5
"144",778,"Albania","https://media.api-sports.io/football/teams/778.png","WLDDWW",3,3,6,2,1,3,0,2,2,1,0,1,6,2,8,4,0,4
"145",1091,"Slovenia","https://media.api-sports.io/football/teams/1091.png","DWWWWD",3,3,6,2,2,4,1,1,2,0,0,0,3,5,8,1,0,1
"146",21,"Denmark","https://media.api-sports.io/football/teams/21.png","LDWWWL",3,3,6,1,2,3,1,0,1,1,1,2,2,6,8,3,4,7
"147",14,"Serbia","https://media.api-sports.io/football/teams/14.png","LDLDDW",3,3,6,1,0,1,1,2,3,1,1,2,5,4,9,1,6,7
"148",10,"England","https://media.api-sports.io/football/teams/10.png","WDWLLW",3,3,6,2,1,3,0,1,1,1,1,2,6,1,7,2,2,4
"149",24,"Poland","https://media.api-sports.io/football/teams/24.png","LWDWLL",3,3,6,1,1,2,1,0,1,1,2,3,4,2,6,2,4,6
"150",1118,"Netherlands","https://media.api-sports.io/football/teams/1118.png","WLDDWW",3,3,6,2,1,3,0,2,2,1,0,1,4,3,7,2,2,4
"151",775,"Austria","https://media.api-sports.io/football/teams/775.png","WLWWWD",3,3,6,1,3,4,1,0,1,1,0,1,5,4,9,5,1,6
"152",2,"France","https://media.api-sports.io/football/teams/2.png","WWDWWWWW",3,5,8,2,5,7,1,0,1,0,0,0,8,9,17,4,4,8
"153",1,"Belgium","https://media.api-sports.io/football/teams/1.png","WWLWWWLL",4,4,8,3,2,5,0,0,0,1,2,3,13,6,19,6,5,11
"154",773,"Slovakia","https://media.api-sports.io/football/teams/773.png","LDLLWL",3,3,6,1,0,1,0,1,1,2,2,4,4,1,5,6,4,10
"155",774,"Romania","https://media.api-sports.io/football/teams/774.png","DWLLWD",3,3,6,1,1,2,1,1,2,1,1,2,4,4,8,2,7,9
"156",772,"Ukraine","https://media.api-sports.io/football/teams/772.png","WLLWLL",3,3,6,2,0,2,0,0,0,1,3,4,4,1,5,3,10,13
"157",777,"Turkey","https://media.api-sports.io/football/teams/777.png","LDDDWL",3,3,6,1,0,1,1,2,3,1,1,2,5,1,6,5,3,8
"158",1104,"Georgia","https://media.api-sports.io/football/teams/1104.png","WDDDLD",3,3,6,0,1,1,2,2,4,1,0,1,2,4,6,3,3,6
"159",27,"Portugal","https://media.api-sports.io/football/teams/27.png","WWDWLW",3,3,6,2,2,4,0,1,1,1,0,1,7,5,12,2,2,4
"160",770,"Czech Republic","https://media.api-sports.io/football/teams/770.png","WLWLWW",3,3,6,2,2,4,0,0,0,1,1,2,4,5,9,2,3,5
"161",25,"Germany","https://media.api-sports.io/football/teams/25.png","DDDWLD",3,3,6,1,0,1,1,3,4,1,0,1,6,5,11,4,5,9
"162",1108,"Scotland","https://media.api-sports.io/football/teams/1108.png","WLWWWD",3,3,6,3,1,4,0,1,1,0,1,1,7,4,11,1,4,5
"163",769,"Hungary","https://media.api-sports.io/football/teams/769.png","WLDWWL",3,3,6,1,2,3,1,0,1,1,1,2,2,6,8,3,2,5
"164",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","LLLWWW",3,3,6,2,1,3,0,0,0,1,2,3,3,3,6,2,7,9
"165",9,"Spain","https://media.api-sports.io/football/teams/9.png","DDWWLWWW",4,4,8,2,3,5,1,1,2,1,0,1,6,5,11,4,2,6
"166",3,"Croatia","https://media.api-sports.io/football/teams/3.png","LDWWWWWL",4,4,8,1,4,5,1,0,1,2,0,2,3,9,12,6,3,9
"167",768,"Italy","https://media.api-sports.io/football/teams/768.png","DWDLWWLW",3,5,8,2,2,4,1,1,2,0,2,2,4,8,12,2,9,11
"168",778,"Albania","https://media.api-sports.io/football/teams/778.png","DLLD",2,2,4,0,0,0,1,1,2,1,1,2,2,2,4,3,3,6
"169",1091,"Slovenia","https://media.api-sports.io/football/teams/1091.png","LLDDWD",3,3,6,1,0,1,1,2,3,1,1,2,4,2,6,5,5,10
"170",21,"Denmark","https://media.api-sports.io/football/teams/21.png","WWLWLW",3,3,6,2,2,4,0,0,0,1,1,2,4,5,9,1,4,5
"171",14,"Serbia","https://media.api-sports.io/football/teams/14.png","LWWDWW",3,3,6,2,2,4,0,1,1,1,0,1,8,5,13,3,2,5
"172",10,"England","https://media.api-sports.io/football/teams/10.png","LDDLLD",3,3,6,0,0,0,2,1,3,1,2,3,3,1,4,7,3,10
"173",24,"Poland","https://media.api-sports.io/football/teams/24.png","WLDLLW",3,3,6,1,1,2,0,1,1,2,1,3,2,4,6,4,8,12
"174",1118,"Netherlands","https://media.api-sports.io/football/teams/1118.png","WWDWWWLL",5,3,8,2,3,5,1,0,1,2,0,2,10,8,18,11,2,13
"175",775,"Austria","https://media.api-sports.io/football/teams/775.png","WLDLLL",3,3,6,0,1,1,1,0,1,2,2,4,3,3,6,6,4,10
"176",2,"France","https://media.api-sports.io/football/teams/2.png","LDDLWL",3,3,6,1,0,1,0,2,2,2,1,3,3,2,5,3,4,7
"177",1,"Belgium","https://media.api-sports.io/football/teams/1.png","LWDWWL",3,3,6,2,1,3,0,1,1,1,1,2,9,2,11,6,2,8
"178",773,"Slovakia","https://media.api-sports.io/football/teams/773.png","WLWLLD",3,3,6,0,2,2,1,0,1,2,1,3,2,3,5,4,2,6
"179",774,"Romania","https://media.api-sports.io/football/teams/774.png","LLWLDW",3,3,6,2,0,2,0,1,1,1,2,3,5,1,6,4,4,8
"180",772,"Ukraine","https://media.api-sports.io/football/teams/772.png","WWDLWD",3,3,6,1,2,3,2,0,2,0,1,1,4,6,10,1,3,4
"181",777,"Turkey","https://media.api-sports.io/football/teams/777.png","WWWWDL",3,3,6,2,2,4,1,0,1,0,1,1,9,9,18,3,2,5
"182",1104,"Georgia","https://media.api-sports.io/football/teams/1104.png","WWWDWW",3,3,6,2,3,5,1,0,1,0,0,0,6,10,16,0,3,3
